id;title;raw;deleted_by;deleted_at;status
1;Platinum;../fake-data/blob/hipster.txt;Regional 4th generation open-source;2021-06-03T01:49:48;INACTIVE
2;Junctions function Licensed Steel Tuna;../fake-data/blob/hipster.txt;moderator Steel Guadeloupe;2021-06-02T15:52:47;INACTIVE
3;facilitate indigo Handcrafted;../fake-data/blob/hipster.txt;Engineer;2021-06-02T10:13:00;INACTIVE
4;6th generation Checking Account;../fake-data/blob/hipster.txt;program;2021-06-03T01:06:29;INACTIVE
5;bypass;../fake-data/blob/hipster.txt;24/365 1080p;2021-06-02T20:47:22;INACTIVE
6;Car hack Connecticut;../fake-data/blob/hipster.txt;Administrator;2021-06-02T16:51:23;INACTIVE
7;Sleek;../fake-data/blob/hipster.txt;Web;2021-06-03T01:53:41;INACTIVE
8;Intelligent National;../fake-data/blob/hipster.txt;Oval Auto Loan Account;2021-06-02T15:35:25;ACTIVE
9;Analyst;../fake-data/blob/hipster.txt;monitor Borders hard drive;2021-06-02T23:54:16;INACTIVE
10;Soft;../fake-data/blob/hipster.txt;calculate Investment Account programming;2021-06-02T11:03:25;INACTIVE
