id;api_key_id;resource;action;allowed_parameters
1;78545;withdrawal Electronics;compress;Avon Clothing Borders
2;93575;Universal;infrastructures;Austria Gabon
3;17177;real-time Tasty Frozen Soap Prairie;deposit Credit Card Account Bike;Ameliorated calculate bi-directional
4;75526;Avon;payment;connecting RAM partnerships
5;66108;markets harness payment;dot-com Practical Frozen Chicken;violet Supervisor
6;28745;invoice Ohio;syndicate maximize bandwidth;Cambridgeshire
7;20673;withdrawal Buckinghamshire;Borders Analyst;reboot Facilitator
8;58784;Gloves Guyana;neural Alabama Brunei Dollar;cultivate
9;97056;incremental Supervisor;Ergonomic;Automotive Music Oklahoma
10;71989;Intranet;Practical;focus group salmon end-to-end
