id;name;description;badge_type_id;grant_count;allow_title;multiple_grant;icon;listable;target_posts;query;enabled;auto_revoke;badge_grouping_id;trigger;show_posts;system;image;long_description;image_upload_id
1;Inverse Vatu Sleek Granite Mouse;Enterprise-wide Internal;80443;74597;false;true;overriding;false;true;input Fantastic ubiquitous;true;false;90834;26966;false;true;sensor;override;48901
2;Electronics compress;Savings Account protocol;26430;56136;false;true;groupware Computers;true;true;Generic Cotton Shoes;false;true;73945;47455;false;true;Tasty Web Bahrain;salmon black experiences;863
3;wireless solid state Program;Towels North Dakota;25927;58292;false;true;transmitting algorithm;true;true;Forward Realigned;false;false;38511;68091;false;true;fresh-thinking;De-engineered systemic;4594
4;Customer;impactful;9072;86850;true;true;technologies;true;true;Wooden;true;false;59163;28059;true;false;auxiliary;redundant Norfolk Island Tokelau;84285
5;neural;programming users;15933;1082;false;false;time-frame communities Credit Card Account;true;false;instruction set;true;false;23436;20598;true;false;Direct Investment Account Swaziland;Refined;83230
6;viral;Fantastic generate Switchable;40879;21245;false;true;cyan;false;true;capacitor partnerships;true;true;21909;73683;true;true;mint green Cambridgeshire;Architect background;54669
7;GB payment;microchip;40493;67050;true;false;copy Mall;false;true;access program Shoes;false;false;89216;11100;false;false;e-commerce systems;B2B Phased Function-based;42553
8;virtual;neural;41993;97269;true;true;compressing Distributed;true;true;indexing;true;true;77156;41332;false;true;Station Secured;Concrete Shoes Kids;73419
9;synthesize Gorgeous Cotton Tuna SCSI;Strategist GB upward-trending;38343;27002;true;true;transform;true;true;Planner;true;false;8689;41461;false;true;array;FTP calculate Ball;23833
10;SSL Sleek Fresh Cheese;Manager Brand deposit;45855;36123;true;true;Antarctica (the territory South of 60 deg S) deposit;false;true;Toys;true;true;9962;13220;true;false;alliance parsing;Bahrain AI;47233
