id;name;color;topic_id;topic_count;user_id;topics_year;topics_month;topics_week;slug;description;text_color;read_restricted;auto_close_hours;post_count;latest_post_id;latest_topic_id;position;parent_category_id;posts_year;posts_month;posts_week;email_in;email_in_allow_strangers;topics_day;posts_day;allow_badges;name_lower;auto_close_based_on_last_post;topic_template;contains_messages;sort_order;sort_ascending;uploaded_logo_id;uploaded_background_id;topic_featured_link_allowed;all_topics_wiki;show_subcategory_list;num_featured_topics;default_view;subcategory_list_style;default_top_period;mailinglist_mirror;minimum_required_tags;navigate_to_first_post_after_read;search_priority;allow_global_tags;reviewable_by_group_id;required_tag_group_id;min_tags_from_required_group;read_only_banner;default_list_filter;allow_unlimited_owner_edits_on_first_post
1;Rubber;indigo;40659;80454;blue override National;41212;61466;53818;Kroon Sao Tome and Principe;background Personal Loan Account;Holy See (Vatican City State);true;11406;22532;58278;30688;84076;41212;56259;60060;76685;Keyboard;false;63838;58801;true;sensor seize Cheese;true;Bedfordshire Dam Yemeni Rial;false;Savings Account;true;71603;11388;true;true;false;69245;Auto Loan Account portal sky blue;mint green Ergonomic haptic;Practical Wooden Ball Benin Refined;false;21105;false;79365;false;80465;53796;33148;indigo software;Innovative Tasty Cotton Keyboard lime;true
2;methodologies Small Granite Pants efficient;lime;35449;26553;West Virginia;15261;16467;67642;virtual discrete;Home Loan Account Indiana;Cambridgeshire Director Kansas;false;68651;8991;11946;46496;63077;57746;44482;48544;19682;Graphical User Interface;false;5830;48563;false;communities Rhode Island Alabama;true;FTP;true;Strategist;false;7034;89683;true;true;false;64451;Tools;Belarus monitoring Computers;Profound;false;32134;true;21741;false;26713;66120;61678;Metal Nevada;Ergonomic;true
3;seize;ivory;62133;31388;Orchard;68204;79307;18133;array Course;Square sexy ROI;integrated;false;62872;53610;66917;28818;86505;54698;72886;70809;9927;Small;false;13528;51890;true;Generic;true;Chief;true;overriding;false;43119;23018;false;true;true;71776;Licensed Incredible Concrete Bike;leading-edge;transform Kuwaiti Dinar;false;14914;false;18175;true;24339;2017;20965;withdrawal Haven;Rand Namibia Dollar Oklahoma;true
4;generate navigating;ivory;16959;87742;back up;76870;75538;57545;Soft;Qatari Rial monitoring;function bus array;false;98841;34132;11898;96212;26874;28327;61375;83479;14429;hack Specialist Berkshire;true;45340;53629;true;Practical Steel Chicken Glens digital;false;Highway;false;JBOD end-to-end fresh-thinking;false;67859;26711;true;false;true;56221;plum;Borders Refined Rubber Chair executive;Personal Loan Account;true;9285;true;84060;true;88045;61242;59550;Seamless implement;hacking Intelligent;false
5;Ports;gold;48172;17247;Rustic Plastic Computer Research;19076;49471;81210;Island Lakes;Throughway Table;hacking Computers;true;9184;23135;24707;77692;37682;3336;341;8196;57689;Suriname North Dakota;false;44569;3182;true;Soft Buckinghamshire;false;West Virginia copying;false;Officer Frozen;false;581;63103;true;true;true;11283;Springs EXE;evolve;systems;false;41834;false;28515;true;41825;7932;9477;multi-byte payment aggregate;Security high-level;true
6;Factors ROI Uganda Shilling;pink;52493;88332;content;99334;62585;18490;Shirt programming;systems Cotton optimize;parse;false;30024;1645;31261;79799;13151;11011;318;79358;52453;Practical Curve FTP;true;93962;87382;false;Pennsylvania;false;Keyboard;true;Consultant Sleek Steel Bacon;true;8700;14883;true;false;false;70780;hack;transmitting program;monitor Uzbekistan Sum framework;true;36991;false;25225;true;10089;54460;57809;Berkshire Administrator;port applications;false
7;Kroon zero administration;plum;13891;36827;invoice Louisiana;48714;69351;23890;forecast;Pula;Nebraska;false;30385;43297;71726;40124;81671;75624;76088;27193;29931;process improvement Wooden Pre-emptive;true;31763;6904;true;back up Rubber Gorgeous;false;indigo Malaysia;true;syndicate multi-byte intangible;true;40856;98445;false;false;false;71994;Indian Rupee Handcrafted Steel Towels;deliverables Uzbekistan Sum system-worthy;vortals;true;76628;false;79714;false;40658;6640;40775;system-worthy;hardware RAM;true
8;target quantify;black;45313;72317;experiences;78223;98083;27474;Checking Account;data-warehouse auxiliary;Springs Producer;false;18210;82778;12150;3826;40715;68026;54298;80659;80076;mobile;true;94509;71229;true;Handcrafted systematic Plaza;false;Checking Account;true;Knolls;false;90019;39907;true;true;false;85509;Facilitator;Baby Garden sticky;mobile Focused integrated;true;26065;true;86605;false;97140;74012;71043;Lithuanian Litas 1080p;Soft;false
9;Customer Qatari Rial Buckinghamshire;lavender;47180;61040;Rustic Function-based;26629;35911;39485;Director;PNG;hub;false;78542;62575;61811;45239;12041;10080;81436;6746;69012;matrix Borders;false;61289;79613;true;synergy;false;Home Loan Account deposit Investor;true;XSS benchmark Identity;true;45214;97963;false;true;false;30184;Baby AI Automotive;Persevering Fantastic;Home Loan Account;true;77764;true;83879;true;48951;54202;92624;mobile customized;e-services Operations neural;false
10;conglomeration;turquoise;66087;44945;Street;95873;94708;15860;mint green data-warehouse Intelligent Frozen Bike;payment;aggregate;true;85537;83796;82696;2316;69387;8429;22155;4622;24166;Toys PNG partnerships;true;92585;48934;false;Drives;false;Legacy back-end Savings Account;false;Gorgeous;false;50311;22664;false;true;false;98476;scalable;intermediate maroon integrate;Mouse;true;81301;false;62048;true;58452;61649;27416;value-added;Forks Fresh Tunisian Dinar;false
