id;category_id;name;value
1;82394;Buckinghamshire;Convertible Marks cross-media
2;9114;Pa'anga Checking Account;teal networks
3;90563;payment;quantifying Trafficway
4;89203;solutions;bandwidth Bike
5;76852;Streets;turquoise maroon Steel
6;30073;PNG payment Chips;Mobility Investment Account
7;73691;Bedfordshire;responsive Handcrafted Plastic Sausages
8;53268;Chilean Peso Unidades de fomento;backing up Serbian Dinar pixel
9;59067;calculating hacking;Libyan Dinar
10;46859;overriding infrastructure innovate;User-friendly Directives
