id;category_id;search_data;raw_data;locale;version
1;84402;Factors Mission;monitor transform;Yen CFP Franc Garden;69383
2;99423;Manager Polarised;Wooden;interface green Tala;26033
3;80101;Mountain;Unbranded initiatives;index architectures bus;71802
4;65323;optical;out-of-the-box Som Supervisor;artificial intelligence Persevering Frozen;40536
5;56632;innovate;Checking Account;Bike;45698
6;88175;port;Uruguay Creek Saint Kitts and Nevis;Rubber;83210
7;35127;Home Loan Account HDD;Togo;Borders Quality-focused;28702
8;14390;solid state;teal;Central e-services Idaho;43274
9;18077;Versatile fuchsia contingency;Investor Supervisor bypass;Ergonomic Fresh Towels Avon;42041
10;97558;transmitter Research;National Checking Account;Handmade Granite Soap IB;18647
