id;category_id;user_id;notification_level;last_seen_at
1;20881;invoice;20430;2021-05-23T22:19:02
2;27115;reboot utilize open-source;91662;2021-05-23T13:41:15
3;45510;Lodge;24620;2021-05-24T10:34:36
4;86755;clear-thinking;85157;2021-05-24T01:37:58
5;91537;Junction Concrete Balanced;61900;2021-05-23T21:42:57
6;85615;Books silver;47513;2021-05-23T13:31:41
7;42873;Comoro Franc portals Paradigm;51664;2021-05-24T04:07:41
8;62481;Junction;68071;2021-05-23T16:18:40
9;12157;alarm;50381;2021-05-24T02:39:59
10;8869;experiences Direct;78283;2021-05-24T05:29:13
