id;name;hex;color_scheme_id
1;Indiana turn-key Nauru;tertiary Chief primary;70432
2;encoding Antarctica (the territory South of 60 deg S) payment;capability paradigms back up;86262
3;Enhanced;Handcrafted Rubber Mouse;81402
4;Ball;Home Loan Account;12824
5;Georgia Ergonomic Lithuanian Litas;Buckinghamshire Health Dynamic;68439
6;SAS Credit Card Account;North Carolina Metrics Ergonomic Rubber Tuna;72199
7;Plastic Object-based;Towels Harbors;71693
8;Lebanese Pound copy;responsive;74317
9;haptic FTP plug-and-play;Profit-focused Auto Loan Account Manager;30781
10;bifurcated Cambridgeshire;Wyoming Division Investment Account;5053
