id;period_type;user_id;likes_received;likes_given;topics_entered;topic_count;post_count;days_visited;posts_read
1;89288;Dynamic Solutions;67195;28321;15241;35987;14084;34115;17727
2;59229;Rustic Fresh Bike Hawaii;35261;42858;25018;80468;27725;15481;90663
3;52204;blue Beauty Investor;68067;87405;27598;77751;11876;25952;45623
4;81200;Direct;68980;59752;88706;57716;43768;87259;68775
5;27627;PNG;7642;53291;27508;31208;39336;37122;68210
6;91979;Awesome Factors clicks-and-mortar;90419;50936;84825;84760;33565;11037;17947
7;59067;Administrator International Re-contextualized;28183;8361;98307;91402;58760;55659;24128
8;17657;Central neural Tuna;78716;74212;40245;37952;61423;33017;27155
9;77018;Interactions Gorgeous;34109;83639;46586;8674;14755;44655;49453
10;88373;Optional Creative;90646;13358;36166;60786;93396;87259;64281
