id;user_id;topic_id;created_at
1;Branding revolutionize Refined Metal Bacon;74748;2021-05-23T13:16:12
2;Plastic;13890;2021-05-24T10:58:23
3;Human Colorado;22914;2021-05-23T15:32:36
4;Graphical User Interface evolve Investment Account;89531;2021-05-23T22:49:28
5;Soft deposit black;2712;2021-05-23T16:58:13
6;Books;4001;2021-05-23T18:34:56
7;orchestrate Maryland recontextualize;69917;2021-05-23T16:08:18
8;optimizing Antigua and Barbuda supply-chains;17219;2021-05-23T14:40:50
9;workforce;12495;2021-05-24T05:51:00
10;Orchestrator Estate;68469;2021-05-23T12:16:47
