id;user_id;draft_key;sequence
1;RSS Books;initiatives Cheese;55806
2;systemic wireless Oregon;full-range white;41998
3;grow;connecting Buckinghamshire Open-architected;95728
4;Strategist;silver Sports;21620
5;quantify Bedfordshire;Chair Cambridgeshire Granite;9640
6;Personal Loan Account;groupware Global;3518
7;El Salvador Colon US Dollar Fantastic Borders;interface Rustic;86341
8;compressing;Berkshire benchmark Architect;59536
9;Borders optimizing;Intelligent world-class Handmade Soft Shoes;85286
10;olive technologies monitoring;Director Fantastic Cotton Sausages;3594
