id;host;category_id;class_name;allowed_paths
1;Savings Account Tuna Home;65944;generating application Small;Kina
2;Cambridgeshire bypass;94390;Licensed Wooden Keyboard Cocos (Keeling) Islands;Plastic Money Market Account transmitting
3;Innovative programming Trail;13264;Plastic;quantify bluetooth 24/7
4;Checking Account;49896;navigate;Borders gold
5;Credit Card Account;19392;Chicken;Iowa
6;Operative Indiana Bedfordshire;96727;South Carolina;Hawaii leverage Lead
7;Argentine Peso Fresh;64765;implement database;National Integration
8;salmon Hat interactive;66291;optimize;Unbranded Cotton Cheese Baby
9;Principal deliver Manager;41597;Lead supply-chains;Intelligent Fresh Tuna Handmade
10;Keyboard;39964;Pants;withdrawal
