id;group_id;user_id;reason;updated_at
1;52941;Designer quantifying;Cambridgeshire SAS;2021-05-23T20:57:13
2;95178;Credit Card Account paradigms;Planner e-business Tunisian Dinar;2021-05-24T03:25:13
3;56160;payment SAS Turnpike;Specialist;2021-05-23T14:13:47
4;26791;Chad Money Market Account;Andorra Mauritania Fantastic Wooden Fish;2021-05-23T19:31:14
5;56084;hack;Chief;2021-05-24T10:55:16
6;71537;open system;Shoes e-enable Missouri;2021-05-24T09:23:59
7;10208;radical Awesome Concrete Table Algerian Dinar;Soft New Zealand Dollar;2021-05-23T23:12:39
8;81308;withdrawal;Distributed;2021-05-23T13:43:11
9;6926;Azerbaijanian Manat;Berkshire orange invoice;2021-05-24T02:19:11
10;36998;Associate;Delaware Guarani withdrawal;2021-05-24T01:03:38
