id;group_id;user_id;owner;notification_level;first_unread_pm_at
1;28942;Liberian Dollar;true;96091;2021-05-23T17:23:33
2;73971;Supervisor Personal Loan Account Toys;false;57303;2021-05-23T15:49:56
3;63531;deposit;true;68154;2021-05-24T07:47:14
4;82061;Facilitator;false;59845;2021-05-24T09:48:47
5;86116;bypassing Indiana;true;14318;2021-05-24T02:20:42
6;24388;Graphic Interface Islands program;false;16105;2021-05-24T04:46:53
7;70721;e-markets Operations;true;71142;2021-05-23T18:34:48
8;33706;1080p back up;true;80868;2021-05-24T03:39:06
9;78809;azure online;true;80461;2021-05-24T01:19:44
10;31920;Sports;false;23564;2021-05-23T12:04:09
