id;user_id;ip_address;current_user_id;post_id;incoming_referer_id
1;Vista;Intelligent Wooden Fish;scalable Small;90709;78712
2;Coordinator;Games networks;calculating Solutions primary;49566;54970
3;Tools Manager feed;Islands Infrastructure Rubber;Cambridgeshire Dobra;36245;44773
4;Dynamic;District Georgia;synergistic connecting;35741;52923
5;Customer;matrices;input Tasty Frozen Towels;31681;93061
6;Checking Account Technician;Sleek Soft Keyboard indexing;well-modulated Chilean Peso Unidades de fomento Reactive;88891;20005
7;Computers;redefine Metrics card;mobile;48804;88553
8;withdrawal deposit wireless;Credit Card Account experiences Avon;programming bi-directional;56188;35518
9;Group front-end lime;mobile Run Director;front-end;79274;74623
10;action-items;silver;Associate Steel;62237;72554
