id;user_id;invite_id;redeemed_at;updated_at
1;Gloves Fresh bandwidth;62742;2021-05-23T21:14:08;2021-05-24T11:06:15
2;teal;5032;2021-05-23T20:13:02;2021-05-23T23:42:35
3;Graphic Interface;46712;2021-05-23T22:52:25;2021-05-23T20:39:03
4;Toys;44623;2021-05-24T01:37:25;2021-05-24T06:42:30
5;web services Fantastic program;90373;2021-05-24T06:29:54;2021-05-24T02:02:29
6;dot-com Soap;11486;2021-05-24T06:02:44;2021-05-23T22:51:51
7;Toys synthesizing;37170;2021-05-23T13:52:25;2021-05-24T09:18:52
8;calculating Bond Markets Units European Composite Unit (EURCO) Assurance;1835;2021-05-24T01:49:49;2021-05-23T13:17:41
9;Infrastructure throughput;19859;2021-05-24T05:24:20;2021-05-24T02:47:18
10;Cambridgeshire navigate Plastic;9541;2021-05-23T20:44:10;2021-05-24T11:26:24
