id;name;context;data
1;Shoes;real-time open system;Grocery protocol
2;responsive mint green microchip;1080p;Personal Loan Account copy
3;revolutionary;bypass;Club Customer firmware
4;Practical Checking Account Avon;Lempira Intelligent Metal Computer;Northern Mariana Islands
5;Soap Implemented Movies;Ridge Flat portals;vortals Developer revolutionize
6;Auto Loan Account extranet transmitter;sexy Tuna Phased;Generic Planner Maldives
7;Investment Account;Paraguay Functionality;Nebraska override withdrawal
8;Practical Cotton Shoes;Berkshire;architect Licensed Fresh Table
9;Car;Agent Oklahoma Investor;Pants
10;out-of-the-box COM;Ville;transmitting parse
