id;user_id;topic_id;post_id;text;title;seen_at;notification_status
1;Rustic bleeding-edge;85985;20461;1080p;port;2021-06-02T11:16:56;SEEN
2;next-generation viral Tasty Wooden Towels;66299;75715;Tuna invoice Credit Card Account;e-enable synergies synthesizing;2021-06-02T16:28:27;SEEN
3;Table stable asymmetric;18051;31365;alarm generate;Unbranded Wooden Salad;2021-06-02T11:15:01;SEEN
4;interface;66502;2243;Berkshire metrics;Table;2021-06-02T13:08:18;SEEN
5;Berkshire auxiliary Ameliorated;83227;98509;Games;Associate;2021-06-03T01:37:20;SEEN
6;Skyway Licensed Metal Table;66672;53512;Fantastic Granite Hat bandwidth;Shirt Metal Lithuanian Litas;2021-06-02T10:22:52;SEEN
7;visualize;90215;81008;circuit Kwanza;Granite;2021-06-02T14:02:13;CREATED
8;navigate Shoes;22149;74668;GB Analyst;AGP;2021-06-02T16:33:50;CREATED
9;New York Grocery Incredible;40431;4114;port;Executive Administrator panel;2021-06-02T10:26:52;CREATED
10;compress;10781;93081;payment;visualize Salad real-time;2021-06-03T02:47:10;CREATED
