id;notification_type;user_id;data;read;topic_id;post_number;post_action_id;high_priority
1;59764;navigating;static Wooden Fantastic;true;87409;98393;61291;true
2;93270;Home Loan Account;sensor;true;28111;84030;54822;true
3;56593;digital Wyoming Taiwan;card navigate;false;38916;24836;69811;true
4;82459;bypassing pricing structure generating;Chief process improvement wireless;true;34579;31380;48239;true
5;45694;Jewelery;actuating;false;3616;33666;90193;true
6;93960;Incredible Rubber Chicken;New Jersey Supervisor withdrawal;false;2197;99907;67843;false
7;24723;National Data copying;Graphical User Interface;true;6508;28823;51123;true
8;44682;red;support Micronesia;false;77131;67082;61157;false
9;50468;Representative;Bedfordshire optical;false;55934;47872;7984;false
10;49915;firmware motivating Dynamic;Multi-lateral Practical Concrete Bacon;true;92727;3053;56927;true
