id;url;topic_id;post_id;category_id;external_url;tag_id
1;https://nicolas.info;57676;67759;41226;copy workforce;46879
2;http://roselyn.biz;49387;30126;7487;monitor;8180
3;https://louvenia.biz;33285;95982;45607;optical Supervisor;41365
4;https://kasandra.info;20652;36283;56732;Shoes fault-tolerant national;4639
5;https://maeve.org;84141;76151;85537;Sleek Granite Pizza Jewelery National;85451
6;http://kayleigh.org;14492;8811;91146;Nebraska overriding payment;12979
7;https://veda.info;6471;18354;74025;Brand Sausages Avon;70310
8;http://lea.name;39605;27209;49366;Realigned;48642
9;https://cleora.biz;21602;27955;33885;bluetooth communities green;5802
10;https://jackeline.org;83156;60788;33159;open architecture;53598
