id;poll_id;digest;html;anonymous_votes
1;61763;generating Washington deposit;Architect Fresh;72123
2;58285;Executive;Industrial;83632
3;33123;transmitting;Sausages;54751
4;49303;frame Springs;Rubber;5656
5;38893;Profound Missouri parsing;Automotive;79723
6;47919;Awesome Plastic Bacon;backing up Home Loan Account Berkshire;9425
7;4937;Salad SSL;payment Extensions;29298
8;94912;Dominican Republic deposit;lime Concrete;74
9;52905;killer deposit Grove;Uruguay Incredible Movies;77901
10;23850;Accountability Bedfordshire digital;benchmark ivory Cotton;75054
