id;post_id;name;close_at;type;status;results;visibility;min;max;step;anonymous_voters;chart_type;groups;title
1;10470;maroon Developer;2021-05-24T03:14:15;71574;45522;26416;25592;14196;76487;93906;9732;6994;Berkshire Venezuela responsive;throughput asymmetric Credit Card Account
2;93615;deposit;2021-05-23T17:33:46;24830;22343;5525;71375;31333;24128;56660;29047;23756;content-based impactful;primary well-modulated
3;43299;sensor fuchsia;2021-05-24T07:00:13;28700;24749;81576;55112;52570;81304;13268;95239;68622;optical Internal Falkland Islands (Malvinas);distributed Investment Account
4;58390;fuchsia Naira New Zealand Dollar;2021-05-23T21:28:11;59889;97976;21757;34015;32665;10606;10427;34613;63567;Tools Berkshire;schemas neural Wallis and Futuna
5;84167;Security;2021-05-24T08:57:24;47534;51037;36724;5425;85298;66068;90293;31363;82043;Research Credit Card Account Personal Loan Account;Oklahoma
6;70350;Handmade;2021-05-24T02:42:43;60768;10661;84664;49174;58986;37768;46352;39888;10021;Kina ivory;overriding
7;41029;Intelligent Rubber Cheese Handcrafted enhance;2021-05-23T23:22:35;94064;69503;96411;64314;94476;60251;54187;31281;71813;Liaison redundant;Operations
8;55910;Shoes;2021-05-23T22:57:59;14970;33789;11483;62332;39931;33415;82684;23096;53788;Berkshire synthesize;interface
9;85640;Ohio British Indian Ocean Territory (Chagos Archipelago) Soap;2021-05-24T04:33:16;95285;88717;10774;26943;12808;22013;13405;52895;23712;payment Buckinghamshire Berkshire;Metal
10;62449;Garden Towels open architecture;2021-05-24T07:44:45;51467;48139;73487;86529;60028;51522;71636;7756;80747;technologies productize;web services
