id;name_key;is_flag;icon;position;score_bonus;reviewable_priority
1;platforms;false;Sports Tuna optimize;34017;50546;93637
2;Wisconsin Stream Division;true;Guyana 6th generation Maryland;43672;35828;85550
3;Unbranded Steel Table Uganda Shilling;false;Sleek Handcrafted;85646;77267;5687
4;Human Advanced communities;true;Borders Western Sahara Refined;44586;650;82313
5;Principal;true;Engineer;61677;40702;83820
6;Pakistan Rupee virtual turquoise;false;Table Group Legacy;30744;12724;15026
7;Gorgeous Concrete Pants National;false;Team-oriented bypass microchip;60838;51312;82193
8;Granite Licensed Cotton Chips;false;Roads;58136;48874;27440
9;Licensed Granite Chips Practical Steel Cheese Robust;false;Generic digital Indian Rupee;69080;71000;56997
10;withdrawal;true;reboot schemas;90842;74731;98782
