id;post_id;user_id;post_action_type_id;deleted_at;deleted_by_id;related_post_id;staff_took_action;deferred_by_id;targets_topic;agreed_at;agreed_by_id;deferred_at;disagreed_at;disagreed_by_id
1;78386;synthesizing;43985;2021-05-23T17:34:09;solution-oriented Washington;76284;true;Berkshire Andorra initiative;false;2021-05-23T17:35:32;Directives withdrawal Cotton;2021-05-23T12:43:34;2021-05-24T01:15:09;Global optimize
2;65538;Product Tuna alliance;56205;2021-05-23T22:05:45;Cambridgeshire;21943;false;Bedfordshire;true;2021-05-23T21:38:09;Future;2021-05-23T14:27:35;2021-05-24T02:52:18;synergies Graphic Interface
3;15025;interactive;44633;2021-05-24T07:31:43;24/365;83551;true;HDD;false;2021-05-23T13:17:28;Plastic backing up;2021-05-23T21:00:00;2021-05-24T11:47:29;Lead
4;52489;Borders Exclusive;95374;2021-05-24T00:52:09;e-business;89276;true;zero tolerance Louisiana SMTP;true;2021-05-24T05:06:06;uniform Micronesia Junction;2021-05-24T05:09:25;2021-05-23T21:52:19;open architecture extranet
5;22718;Health;19232;2021-05-24T02:47:07;1080p Infrastructure;74799;true;Towels payment front-end;true;2021-05-24T03:51:11;Steel Michigan;2021-05-23T20:05:21;2021-05-24T05:38:34;withdrawal bypassing
6;5192;Legacy Borders Ferry;13154;2021-05-23T16:08:27;functionalities Loop;7596;false;Associate;false;2021-05-24T10:14:00;Refined Chicken;2021-05-24T05:38:45;2021-05-23T12:48:32;Auto Loan Account
7;92873;task-force;37158;2021-05-24T12:03:01;Human;93348;true;Sausages blue;false;2021-05-23T17:55:37;Electronics Gorgeous Gorgeous;2021-05-23T23:52:02;2021-05-24T08:21:35;Focused synthesizing Mills
8;4545;capacitor Avon;54999;2021-05-24T03:03:15;Flat;18400;true;invoice brand ADP;true;2021-05-24T06:33:59;withdrawal;2021-05-24T11:10:08;2021-05-24T00:44:18;Cambridgeshire
9;56836;Awesome Books productize;30865;2021-05-23T17:33:24;Bacon Data;74315;true;South Carolina;false;2021-05-23T19:52:53;magenta;2021-05-23T17:26:32;2021-05-23T19:01:43;Metal
10;81361;Fresh back-end Executive;40301;2021-05-24T07:09:48;calculate Way transmitting;81221;false;Incredible revolutionary Unbranded Metal Computer;false;2021-05-23T20:32:35;Ford California;2021-05-23T20:06:48;2021-05-23T23:34:14;neural feed
