id;user_id;post_id;reply_key
1;Automotive;69525;Mountains
2;Rubber quantify;52118;maximize
3;Berkshire Buckinghamshire;96123;structure Arizona Kansas
4;Progressive context-sensitive;31203;human-resource GB hybrid
5;Total Auto Loan Account;9861;Virtual Handmade Concrete Pizza
6;invoice green Computer;43812;Clothing Texas
7;Concrete Gorgeous Soft Bacon;58473;Diverse Focused Global
8;leading edge Small Rubber Car;41188;Senior
9;interactive;85793;District teal Generic Steel Gloves
10;Group superstructure benchmark;24060;Bike SMTP
