id;post_id;search_data;raw_data;locale;version;private_message
1;29808;Accountability virtual;installation;value-added;19775;false
2;39453;Pants solution-oriented Tasty;Qatari Rial Functionality;navigate;48201;true
3;15918;Supervisor;United Kingdom;Kroon compress Soft;80967;false
4;73835;Clothing;world-class Director;PNG Down-sized;22569;true
5;33334;Soft;indexing array vortals;Business-focused content Handmade Fresh Keyboard;59200;true
6;11227;California Tools implementation;Lesotho optical;Fresh International web-enabled;33123;true
7;68737;redefine hacking Investment Account;Kids Agent local area network;Checking Account e-services;23764;false
8;37267;parse;analyzing;back up;73013;true
9;68829;deposit Russian Ruble;local area network XSS Savings Account;Frozen;98015;false
10;11138;Intelligent Fundamental Iranian Rial;Uzbekistan;Manager;35420;true
