id;reviewable_id;user_id;reviewable_score_type;status;score;take_action_bonus;reviewed_by_id;reviewed_at;meta_topic_id;reason;user_accuracy_bonus
1;25791;Sharable Manager Alabama;21305;43231;90312;64580;Product Horizontal zero defect;2021-05-23T18:00:47;45997;Soft;39565
2;22286;transmitter copying Administrator;4711;83068;91894;22929;Brand payment;2021-05-23T14:29:11;52224;JSON;13993
3;24604;Consultant Chief;98849;45411;59996;4973;Chief open-source Washington;2021-05-24T00:10:35;66600;Executive;13009
4;54776;encoding Malaysian Ringgit;35842;71075;1109;43777;CFA Franc BEAC invoice Lodge;2021-05-23T15:50:08;43987;Legacy Baht fuchsia;74625
5;2725;Auto Loan Account;56583;32633;54012;13935;Guyana emulation synergies;2021-05-23T19:38:11;67855;Handcrafted Cotton Gloves Gorgeous;93506
6;1321;Hat Down-sized Expressway;93776;50327;77876;89272;Accounts Handcrafted Integration;2021-05-24T11:32:43;51059;generate scale;92729
7;74766;Massachusetts;51336;77193;9858;69122;Pass Riel;2021-05-23T16:48:38;93296;Factors encompassing incentivize;36970
8;46846;View Central;68013;35265;83822;65966;Awesome Compatible synthesizing;2021-05-24T01:47:56;47956;scalable XSS;62089
9;9104;asynchronous functionalities;87903;91256;92710;57438;Inverse unleash Checking Account;2021-05-23T23:22:18;94745;AI Producer;56274
10;58231;Analyst protocol;15201;56354;3855;18935;installation;2021-05-23T19:19:26;10249;contingency Facilitator;96716
