id;type;status;reviewable_by_moderator;reviewable_by_group_id;category_id;topic_id;score;potential_spam;target_id;target_type;target_created_by_id;payload;version;latest_score;force_review;reject_reason
1;sensor;98611;true;24389;72151;7903;39705;true;4236;maximize Director Grocery;Bike back-end;bus Palestinian Territory withdrawal;6815;2021-05-24T08:15:43;true;Credit Card Account Intuitive
2;Auto Loan Account mobile analyzing;72012;true;23417;19066;51985;44789;true;81732;Minnesota;IB back-end Analyst;orchid;93779;2021-05-24T08:43:15;true;Saint Kitts and Nevis reboot Cloned
3;Cambridgeshire Handmade Frozen Shoes Hat;87172;false;56427;16000;76785;50582;true;69868;recontextualize Rubber;Money Market Account Refined;Grocery;96561;2021-05-23T22:01:28;false;definition generating solutions
4;transmitting;26757;true;99376;33304;58694;18543;false;38716;Roads wireless front-end;Towels Supervisor;support Persistent Money Market Account;66668;2021-05-24T02:11:06;true;calculate Money Market Account Fresh
5;Indiana feed primary;39863;false;62296;25636;5898;14699;false;58198;help-desk;executive artificial intelligence incubate;markets wireless Refined;53641;2021-05-24T09:40:33;true;Tasty Program interfaces
6;Savings Account virtual Investment Account;86741;false;519;88258;50501;48457;false;30826;Maine Representative;ubiquitous Tennessee wireless;Fish port;13115;2021-05-23T14:58:11;true;real-time magnetic
7;Integrated Steel;7413;false;50771;25413;10967;53654;true;91734;Lights Frozen;Licensed;uniform;68864;2021-05-24T11:15:00;false;secured line
8;Cotton Borders;74289;true;49479;15339;69314;74838;false;37193;Executive;Books Handmade;Gorgeous;719;2021-05-24T09:35:57;false;one-to-one
9;monitor transmit Guam;27587;false;61845;56357;1248;7511;true;12176;interface Buckinghamshire;global holistic;Concrete;9361;2021-05-23T18:18:08;true;Books Rustic Steel Bacon SQL
10;override tan;52460;true;90403;19024;42792;47724;true;91331;encryption Baby;Tasty Concrete Bike feed Global;Realigned;68745;2021-05-23T18:53:20;true;Investor Chair Music
