id;name;hostname;pid;duration_ms;live_slots_start;live_slots_finish;started_at;success;error
1;Arizona generating;HDD AGP;72447;10679;42294;89114;2021-05-24T04:32:02;true;Engineer
2;Branding Checking Account;bypass;14999;22616;88391;42644;2021-05-23T23:15:17;true;Distributed Steel
3;Incredible Rubber Shirt Rufiyaa Meadow;Cotton metrics payment;32095;49142;17436;30612;2021-05-24T11:17:26;true;auxiliary
4;Texas;Books;9612;62935;1556;81121;2021-05-23T16:31:29;false;deposit Orchestrator Mississippi
5;optical optimizing;Swedish Krona Fresh;90048;25815;84303;60793;2021-05-24T06:57:23;true;Naira enterprise Borders
6;viral;Courts auxiliary Credit Card Account;54530;62717;25834;83673;2021-05-24T00:45:09;true;Cambridgeshire fuchsia Wisconsin
7;Pants;Lodge Awesome South Dakota;46998;66159;78115;5362;2021-05-24T08:05:16;false;Denmark white
8;Mouse alarm well-modulated;Texas;33727;54912;92163;44424;2021-05-24T12:11:53;false;Shoes
9;Mountains cultivate Tactics;New York Burkina Faso Bedfordshire;11574;88925;48432;37686;2021-05-24T01:53:34;true;Falls panel
10;withdrawal Frozen;sky blue;13119;94547;54494;49993;2021-05-24T10:13:25;false;utilisation
