id;url;domain;action_type;match_count;last_match_at;ip_address
1;https://reta.name;Grove;77885;9814;2021-05-24T10:41:13;redefine azure
2;http://domenick.info;Home Loan Account;11005;83387;2021-05-23T23:35:56;Handmade Soft Shoes
3;http://dianna.biz;payment Harbors;93977;82454;2021-05-23T23:22:01;deposit
4;https://brycen.com;withdrawal quantify;46384;68983;2021-05-24T01:59:15;payment
5;https://sage.net;turquoise;35112;31079;2021-05-23T20:15:38;Keys backing up Avon
6;https://adam.com;green;90923;91013;2021-05-23T14:19:53;Pizza compressing
7;http://beau.info;Indiana invoice;68851;14389;2021-05-24T03:59:32;methodologies feed Directives
8;https://allen.name;Garden overriding;66312;34836;2021-05-24T06:48:38;deploy
9;https://lindsey.com;payment AGP Games;44148;80154;2021-05-23T21:21:35;Manager
10;https://alexanne.net;SAS haptic system-worthy;49090;34266;2021-05-24T02:12:11;composite
