id;term;user_id;ip_address;search_result_id;search_type;search_result_type
1;database;Electronics;Computers Iraqi Dinar payment;29324;41474;38711
2;Refined Metal Gloves;world-class productivity;Cambridgeshire;45660;56314;29784
3;neural Berkshire cutting-edge;model Administrator Officer;Panama Bahamas;79370;59457;18159
4;Small Rubber Computer;streamline;Auto Loan Account bandwidth-monitored;10498;20903;41822
5;interfaces;grey;e-business Plastic Enterprise-wide;49951;36282;24026
6;Toys;Shirt Cayman Islands Dollar;Soap;54837;83182;43700
7;Future-proofed;complexity back-end Visionary;Bhutan Ghana Steel;29841;72429;14720
8;Tuna circuit infrastructures;Egypt connect;Papua New Guinea matrix;97708;8646;46285
9;connecting Center transmitting;Realigned transmitting Village;Hryvnia Handcrafted Wooden Bike;38177;69056;94138
10;leading-edge;Rhode Island;Refined Steel Table Rhode Island Rupiah;79322;89728;82923
