id;tag_id;search_data;raw_data;locale;version
1;43696;incubate blue withdrawal;PCI Ball;Customer;48280
2;90754;Intranet;Bedfordshire;mobile Health;74490
3;82333;firmware;Avon;feed Developer Persevering;77397
4;38023;Swiss Franc;Internal Personal Loan Account Auto Loan Account;frame Fish e-tailers;82720
5;6700;SQL;drive Soap;back up Ergonomic;95933
6;75339;digital;Soap Incredible Rustic Rubber Salad;convergence;98876
7;41762;Integration e-business;fuchsia View;Beauty yellow;49879
8;64978;transitional;bricks-and-clicks Mouse Phased;Reduced Bahamas;53102
9;91975;Rubber;Coordinator next generation;Functionality hard drive;69025
10;95030;array;Wooden;Nigeria;63679
