id;content_id;toxicity;severe_toxicity;obscene;threat;insult;identity_hate;type
1;67985;5469;66477;79356;30551;43533;51756;TOPIC
2;67138;71662;68039;29928;66894;22150;32221;POST
3;82172;5418;97286;16129;65961;33171;84229;TOPIC
4;71715;4650;14065;3196;87891;57872;30328;POST
5;57371;95640;33902;85205;41871;54773;68115;POST
6;75153;65840;10579;403;62223;69476;63312;TOPIC
7;20916;42509;72522;71398;78532;21673;15773;TOPIC
8;69681;88582;95261;35702;60676;70767;27201;POST
9;56258;74451;64172;82485;55304;32473;22336;POST
10;23567;50808;42510;5510;21352;7818;7467;TOPIC
