id;theme_id;locale;translation_key;value
1;60544;portals Principal Customer;gold program;Manager
2;93741;Buckinghamshire;Buckinghamshire Colombian Peso Unidad de Valor Real firewall;Benin
3;55954;cultivate connecting;XSS SMS;Division application Incredible
4;30544;attitude;connecting;Streamlined deposit HDD
5;66757;Lead interface;Handcrafted Borders;scalable index Investor
6;36133;SDD;auxiliary;Knoll cross-platform
7;12193;Licensed e-tailers;Product New Israeli Sheqel Movies;Borders Ergonomic
8;23565;Manat;e-services;Cambridgeshire SMTP
9;73820;Hills 24/7;Frozen;Glens Small Granite Keyboard
10;32686;Agent Grass-roots;target;program
