id;topic_id;yearly_posts_count;yearly_views_count;yearly_likes_count;monthly_posts_count;monthly_views_count;monthly_likes_count;weekly_posts_count;weekly_views_count;weekly_likes_count;daily_posts_count;daily_views_count;daily_likes_count;daily_score;weekly_score;monthly_score;yearly_score;all_score;daily_op_likes_count;weekly_op_likes_count;monthly_op_likes_count;yearly_op_likes_count;quarterly_posts_count;quarterly_views_count;quarterly_likes_count;quarterly_score;quarterly_op_likes_count
1;66819;15591;63785;62725;20954;69446;55355;14057;1310;52876;79194;42578;28627;99884;61767;54989;54727;56964;59495;97598;48855;53704;26103;94456;97715;55251;86490
2;88972;97442;4932;15895;25399;31228;91179;58993;1830;11130;64818;64837;59490;25012;96825;5176;72721;43252;44448;73145;32129;97034;643;68397;77033;83847;47740
3;39871;79187;84971;68547;84803;71917;80650;54969;73561;86837;34379;71430;15486;61238;81696;99558;24098;47509;12514;16187;80834;60235;15201;24220;14966;36433;16418
4;91482;21626;39376;55702;9873;68589;41351;81441;72799;34021;78831;94319;27341;98436;78735;85957;42779;10287;18431;90743;16121;96628;94966;87433;34342;48605;69363
5;44339;51949;34498;22383;71799;60828;35368;11099;41744;92625;96273;60972;5967;72566;39457;95516;46111;2919;4609;66793;59522;28000;44582;23696;16028;53049;12235
6;49183;98572;78438;72105;66177;66173;89869;53364;9002;32869;51277;75565;71457;97345;63290;84133;78056;27070;17162;52840;31718;23075;52037;39635;23807;72692;6438
7;2535;86268;50895;49393;66250;90375;62510;92548;88632;16475;8863;97607;28071;81785;4077;43137;6601;48714;58389;58738;39648;74562;16487;78280;13899;61671;70812
8;70103;64310;29876;29208;2065;97140;31615;29015;65185;41362;79727;63012;27609;7745;20837;81607;61203;43515;67216;5094;58794;35169;19668;62413;69465;42673;64479
9;99062;74338;73349;24014;79271;439;93745;89780;52981;39807;59419;24445;78923;34294;76669;68331;44602;73194;76960;85918;56576;64776;29695;71247;47536;70917;7709
10;15188;81120;39089;16657;49304;34335;93342;21889;35493;25249;89974;20771;60066;50099;78577;62878;94363;86971;86742;68344;54593;63007;31939;4629;75469;82591;59729
