id;topic_link_id;user_id;ip_address
1;79680;Berkshire Cambridgeshire yellow;multi-byte payment Tasty Steel Sausages
2;19182;Macedonia Auto Loan Account Associate;wireless back-end
3;48157;payment;Auto Loan Account architecture platforms
4;7875;Frozen Road;haptic integrate
5;149;SSL Ergonomic Steel Bike Checking Account;Fantastic Metal Pants GB Regional
6;74811;transmit calculate;Sleek
7;7296;COM;facilitate
8;62558;bus local Open-source;Syrian Arab Republic hack index
9;82713;Beauty;Licensed
10;1284;Nakfa Soft;next-generation
