id;topic_id;post_id;user_id;url;domain;internal;link_topic_id;reflection;clicks;link_post_id;title;crawled_at;quote;extension
1;94136;37649;online payment;https://loyal.info;Checking Account programming Web;true;63808;true;39728;50934;Money Market Account Configuration;2021-05-24T04:27:39;true;Home Loan Account robust Ball
2;47802;45095;Officer;https://isom.org;brand monitor;true;34745;false;98700;18950;Handcrafted;2021-05-23T23:48:37;false;Buckinghamshire
3;98106;75222;Squares;https://tracey.org;Berkshire;false;52615;true;17050;78570;haptic Checking Account Massachusetts;2021-05-23T18:50:46;false;wireless Idaho JBOD
4;41322;88788;Cliffs Orchestrator;https://al.net;Berkshire Grocery convergence;false;24067;false;6518;94005;Organized plug-and-play;2021-05-23T21:09:44;true;Strategist Internal
5;61624;46476;Practical Future Handmade;http://kacey.org;Integrated Kids;false;71358;true;30724;84795;productize AGP Steel;2021-05-23T14:05:37;false;Brunei Darussalam Associate Analyst
6;63380;96371;Soap fault-tolerant;https://jarod.net;intuitive Locks;false;77306;true;4805;37675;multimedia;2021-05-24T11:02:11;false;deposit
7;98739;74326;Bhutan Developer HDD;http://myriam.biz;parsing COM Metrics;false;15777;false;93103;27991;Steel;2021-05-23T18:44:15;false;Zambian Kwacha withdrawal parsing
8;3263;62051;quantifying global generating;https://lucile.org;District wireless Facilitator;false;955;true;74621;60478;Infrastructure;2021-05-23T13:15:02;false;Granite
9;76570;96036;Taka IB;http://rudolph.com;microchip indexing;false;77842;false;97392;94440;Shoes Qatar solutions;2021-05-24T12:57:34;false;Isle Open-source Marketing
10;36633;87573;back up;https://jaeden.biz;bluetooth;false;44148;true;30811;13939;copy Jamaica hacking;2021-05-23T22:38:35;false;Automotive
