id;topic_id;raw_data;locale;search_data;version
1;77398;New Hampshire Incredible Soft Bacon;transmitting;Sports adapter transmitter;13961
2;78355;Wyoming brand Global;Pants Chicken;Checking Account;42409
3;32255;brand online;Money Market Account Home Loan Account;Uzbekistan Sum Intelligent Frozen Cheese overriding;37091
4;8434;eco-centric convergence;Berkshire;Directives;92408
5;61011;Uganda Shilling Reactive;West Virginia Licensed Concrete Keyboard zero administration;Qatari Rial;11842
6;30640;Tanzania;e-commerce Algerian Dinar Chair;bandwidth-monitored;27793
7;3888;backing up;program Executive Metical;Quetzal Money Market Account;40892
8;80862;matrix payment South Dakota;vortals Falls;transmitting pixel;71697
9;51868;Future-proofed Investor Architect;pixel;solid state;66411
10;26528;explicit bypassing disintermediate;Lodge PNG invoice;Handmade;44150
