id;execute_at;status_type;user_id;topic_id;based_on_last_post;deleted_at;deleted_by_id;category_id;public_type;duration;duration_minutes
1;2021-05-23T13:26:47;77405;Down-sized RAM compelling;87039;false;2021-05-24T08:58:55;Colorado Bedfordshire;29806;true;59802;25440
2;2021-05-23T22:28:57;9475;withdrawal;28409;true;2021-05-23T22:11:46;Coordinator Towels;80424;false;60122;58479
3;2021-05-23T21:12:08;17547;RSS Lek;48750;true;2021-05-23T19:36:13;Investment Account;43601;false;33807;31896
4;2021-05-23T20:29:01;4505;Rustic Granite Cheese;97948;false;2021-05-24T04:14:31;Auto Loan Account Home Loan Account;47064;false;92268;95769
5;2021-05-24T11:01:12;42949;parsing Village;46769;false;2021-05-24T12:21:17;Human Burundi Franc;31895;true;19460;95923
6;2021-05-23T18:49:14;10874;Yemen Licensed Metal Chicken;89369;false;2021-05-24T11:50:12;Rustic Plastic Shirt;83288;true;29183;2208
7;2021-05-23T20:02:41;90550;Bike seamless facilitate;69036;false;2021-05-24T08:06:18;Legacy;22476;true;2341;43148
8;2021-05-24T05:25:28;60114;Home morph Forward;84778;false;2021-05-24T08:05:46;New Mexico;23670;false;73155;46647
9;2021-05-23T17:34:11;41625;Landing;36311;false;2021-05-24T00:10:23;Supervisor Moldovan Leu teal;42177;false;2154;31333
10;2021-05-23T18:37:31;8947;green;24203;false;2021-05-23T23:05:38;access Graphical User Interface;90829;true;78371;85730
