id;user_id;topic_id;posted;last_read_post_number;highest_seen_post_number;last_visited_at;first_visited_at;notification_level;notifications_changed_at;notifications_reason_id;total_msecs_viewed;cleared_pinned_at;last_emailed_post_number;liked;bookmarked;last_posted_at
1;Tasty Investor;3817;false;7215;88549;2021-05-23T21:06:03;2021-05-23T19:52:50;4447;2021-05-24T09:32:52;13045;94852;2021-05-24T12:39:43;95886;false;true;2021-05-23T17:43:18
2;Planner Function-based withdrawal;31993;false;8595;57766;2021-05-24T00:38:27;2021-05-23T23:07:22;54906;2021-05-24T10:22:05;45531;57377;2021-05-23T15:18:55;33049;true;false;2021-05-24T08:30:49
3;Steel Borders open-source;66021;false;52141;63311;2021-05-24T00:57:19;2021-05-23T19:41:02;64468;2021-05-23T16:40:22;75682;44514;2021-05-23T22:31:24;98537;true;false;2021-05-23T18:24:44
4;synthesizing;63383;false;98358;89530;2021-05-23T21:53:11;2021-05-24T07:46:15;54843;2021-05-24T05:13:50;85816;97622;2021-05-24T02:05:40;92237;true;false;2021-05-24T01:05:47
5;Rustic;85471;false;50121;65995;2021-05-24T07:28:56;2021-05-24T03:47:46;51837;2021-05-23T14:24:11;56856;34237;2021-05-23T19:03:11;81090;false;false;2021-05-23T21:07:24
6;Borders Technician Comoros;42480;false;57741;45877;2021-05-24T02:07:58;2021-05-24T11:29:38;97235;2021-05-23T23:04:30;37336;41675;2021-05-23T14:25:15;46134;true;true;2021-05-24T08:05:54
7;reboot Concrete Chile;1614;true;53482;18375;2021-05-24T02:12:29;2021-05-23T14:28:28;58168;2021-05-23T15:42:26;47832;47295;2021-05-24T13:01:27;7949;false;false;2021-05-23T17:25:20
8;Solutions Plastic;5279;false;44998;99064;2021-05-24T09:05:32;2021-05-24T03:10:55;35052;2021-05-24T02:35:54;95614;27887;2021-05-24T09:30:20;40899;true;true;2021-05-24T06:08:21
9;initiatives Tennessee Tasty;71853;false;93858;20685;2021-05-23T18:42:35;2021-05-24T11:20:01;24010;2021-05-23T20:38:15;77336;47847;2021-05-24T02:33:04;35980;true;true;2021-05-24T02:21:43
10;front-end local area network Cross-platform;4011;false;85876;23280;2021-05-24T11:29:30;2021-05-23T15:34:59;39720;2021-05-24T05:29:54;24146;73552;2021-05-24T05:23:33;94583;true;false;2021-05-23T14:52:51
