id;topic_id;viewed_at;user_id;ip_address
1;6988;2021-05-23;deposit Orchestrator Granite;Assistant
2;36796;2021-05-24;iterate;dot-com
3;27731;2021-05-24;Small Metal Bike;Supervisor
4;77830;2021-05-24;protocol;Unbranded mobile Unbranded Granite Tuna
5;45473;2021-05-24;incubate Auto Loan Account;Industrial Cotton Handmade
6;652;2021-05-23;Canadian Dollar Handmade Granite Chair channels;Iowa transform
7;56468;2021-05-23;Spur synergies;Computer Regional digital
8;15270;2021-05-23;virtual Michigan Health;payment
9;13096;2021-05-24;Assistant attitude;invoice
10;16546;2021-05-23;primary;open architecture projection success
