id;action_type;user_id;target_topic_id;target_post_id;target_user_id;acting_user_id
1;84919;leading-edge;20041;70716;monetize Pike Money Market Account;Home Loan Account
2;8657;Practical Cotton Ball Bedfordshire payment;23784;7464;optimize mesh program;indexing bus interface
3;82109;impactful;27226;7137;back up;Investment Account
4;83789;out-of-the-box quantifying Georgia;46880;24310;Dynamic asymmetric Personal Loan Account;invoice
5;11501;withdrawal;60483;81288;Dynamic Pizza Soap;Nevada
6;13541;Practical Rubber Sausages;29017;7107;user-centric;payment Rubber
7;80175;Books Summit;17720;70124;Product;Cocos (Keeling) Islands
8;45536;Dong architecture;27742;60925;azure Car;scalable Buckinghamshire
9;63719;virtual;76848;92194;Silver 4th generation;Analyst
10;63183;utilize;89658;29151;primary Sleek;Metal Directives microchip
