id;badge_id;user_id;granted_at;granted_by_id;post_id;notification_id;seq;featured_rank
1;83009;Optimization;2021-05-23T23:30:25;protocol Refined Steel Shirt salmon;57862;84849;27944;31581
2;92279;online Synergized Dynamic;2021-05-23T18:14:37;systems alarm;50843;95897;38878;4669
3;77336;Unbranded;2021-05-24T02:27:23;Home Loan Account International bus;77406;52798;618;77266
4;61183;systemic Generic;2021-05-23T16:14:15;Balanced;2787;4074;49237;82074
5;25877;National Frozen Hat;2021-05-23T23:08:05;Paradigm;53254;56161;2187;78320
6;41042;fault-tolerant International Bedfordshire;2021-05-24T04:05:54;bypass Awesome Sports;32802;71341;56101;23028
7;71104;Dynamic Sports;2021-05-24T03:30:55;Mobility AI Keys;70814;80303;23347;83844
8;62463;Frozen Sleek Rubber Keyboard;2021-05-23T17:58:04;Prairie;45049;26139;5944;63661
9;76890;Ball;2021-05-24T03:08:57;payment Generic Frozen Bacon Concrete;25232;6620;5986;14960
10;15352;Auto Loan Account Northern Mariana Islands;2021-05-23T18:48:50;Saint Helena Pound application;89169;31954;12233;15340
