id;file_name;user_id;upload_id;topic_id
1;convergence Bolivia Avon;Universal Granite recontextualize;70028;57748
2;transmit;B2B Steel;78442;25763
3;sensor;blue Credit Card Account;31555;98422
4;mindshare recontextualize;Leone;95047;30369
5;Concrete District Auto Loan Account;orchestrate Iowa;86260;47218
6;online Auto Loan Account;quantify;80092;49204
7;Sleek;Soft;40069;81460
8;neural Handcrafted Soft Car;disintermediate;53139;10266
9;communities Brand;synergy Licensed;2033;63882
10;neural;Planner Borders;12167;20146
