id;name;field_type;editable;description;required;show_on_profile;position;show_on_user_card;external_name;external_type;searchable
1;Libyan Dinar;River extend Fundamental;true;Metal;false;true;94982;true;Tuna policy Nakfa;model;false
2;orchid Lead;Corporate;true;Corporate intuitive;true;false;18749;true;Investment Account viral;Cotton brand Internal;true
3;European Monetary Unit (E.M.U.-6) South Carolina Bond Markets Units European Composite Unit (EURCO);Intelligent quantifying;false;action-items;true;true;25259;true;Refined;bandwidth;false
4;Computer;input;true;quantify Sports;false;true;81915;false;expedite;Pound Sterling grey;true
5;Florida Implementation;Product black;true;Investment Account orchestration;false;true;53029;true;policy Ghana Garden;Forward Junctions Small Steel Fish;true
6;Seamless Maryland Dominican Peso;matrices;false;Iranian Rial ADP back up;false;true;83189;true;Ergonomic Wooden Tuna Cambridgeshire Uruguay;Assimilated;true
7;Avon Kip;interface Bridge;false;COM;true;true;5273;true;Cheese connect Electronics;HTTP;false
8;gold;cyan feed;false;bifurcated San Marino matrix;true;false;56936;true;Customer;matrices Gorgeous Frozen Bacon Games;false
9;Money Market Account;infrastructure;false;Legacy Direct National;true;false;9783;false;Gorgeous Plastic Bacon District USB;payment Paradigm;true
10;Virginia International;niches orange;true;bypassing applications Solutions;false;false;99479;true;SCSI Designer extensible;deposit;true
