id;user_id;enabled;day_0_start_time;day_0_end_time;day_1_start_time;day_1_end_time;day_2_start_time;day_2_end_time;day_3_start_time;day_3_end_time;day_4_start_time;day_4_end_time;day_5_start_time;day_5_end_time;day_6_start_time;day_6_end_time
1;calculating Platinum;true;55533;92480;86292;80675;79885;12012;43525;94681;43341;19507;25237;2564;90865;10055
2;synthesize;true;18763;39445;20897;71251;69657;20990;74769;68291;70824;58398;32522;33194;55914;26217
3;vertical;true;61302;18750;95282;97086;74496;12473;33461;72625;52937;44567;10385;11315;13170;15363
4;neural Streamlined override;true;29259;88866;21528;55461;6730;32398;43096;99521;59019;75178;77862;88377;60714;56294
5;El Salvador Colon US Dollar;true;84285;98109;66154;56266;46020;53225;94002;14302;64372;64445;12181;78844;24340;97011
6;connecting;true;57123;49555;50113;22640;25791;71055;90203;35748;18327;40199;29047;73595;62491;43542
7;Division stable;false;38695;98786;1447;77083;65058;97027;61338;25340;32282;34971;84086;35953;31306;78268
8;District Savings Account;false;18132;91073;42202;62473;54977;24940;48983;72755;8072;4022;89351;38000;3993;7801
9;index Director utilize;false;16191;3599;60373;39446;8476;31263;14050;43956;8271;74810;97455;80524;14724;53805
10;Checking Account schemas Oregon;true;32838;12978;53954;81839;54342;24857;89565;89963;86406;57640;45796;18100;37887;13397
