id;user_id;search_data;raw_data;locale;version
1;asynchronous;program Movies;archive Compatible transmit;application;64109
2;Intranet Handmade;e-tailers South Dakota;Concrete;Rustic Plastic Gloves;450
3;programming;RAM Berkshire invoice;Licensed purple back-end;white;35067
4;withdrawal;Product;Refined Prairie;support;33636
5;Kids Chief Web;Kwacha;full-range Fresh;digital;50386
6;Pennsylvania;Maine;back up;Arkansas strategize;1882
7;Iran THX Toys;XSS;Credit Card Account;New Taiwan Dollar Gorgeous Frozen Chips value-added;97638
8;withdrawal Avon;Soft Switchable Fantastic Rubber Hat;applications COM;Investment Account;90842
9;Avon Handcrafted Concrete Pants;back up;Movies Practical;Rubber Unbranded Steel Hat;8250
10;Handmade Wooden Chair Oregon Administrator;Spring Chicken Electronics;matrices;Unbranded paradigms;47491
