id;user_id;topics_entered;time_read;days_visited;posts_read_count;likes_given;likes_received;new_since;read_faq;first_post_created_at;post_count;topic_count;bounce_score;reset_bounce_score_after;flags_agreed;flags_disagreed;flags_ignored;first_unread_at;distinct_badge_count;first_unread_pm_at;digest_attempted_at
1;Steel synthesizing payment;62616;35476;80552;91304;77044;22813;2021-05-24T01:00:24;2021-05-24T06:15:34;2021-05-23T18:15:04;30814;38070;7294;2021-05-24T02:22:04;53176;72558;40185;2021-05-24T11:01:57;24594;2021-05-24T03:56:51;2021-05-24T06:28:45
2;Fantastic Cotton Car alarm;83164;18454;24746;38273;44382;50967;2021-05-23T16:07:00;2021-05-24T03:56:15;2021-05-23T16:30:50;40286;74387;23282;2021-05-24T09:37:47;33405;46894;2250;2021-05-24T02:00:18;18459;2021-05-24T10:41:55;2021-05-24T12:54:14
3;efficient;20665;82955;36896;29084;63942;17256;2021-05-24T07:43:21;2021-05-23T16:20:06;2021-05-23T14:53:00;91197;84428;83524;2021-05-24T06:27:38;41236;33494;4922;2021-05-24T05:31:16;93755;2021-05-24T07:46:35;2021-05-24T09:10:23
4;Ergonomic national SSL;74758;16234;12004;74872;52786;64099;2021-05-24T03:22:18;2021-05-23T23:03:26;2021-05-23T20:41:25;79849;70067;14703;2021-05-24T04:01:14;16813;55426;77960;2021-05-23T19:04:06;22954;2021-05-24T05:49:35;2021-05-23T14:34:42
5;Iraqi Dinar;74859;79494;94959;13116;53623;44287;2021-05-24T10:35:06;2021-05-23T21:22:35;2021-05-23T20:44:00;86881;56538;54202;2021-05-24T03:01:59;10182;28555;30047;2021-05-24T05:37:47;9515;2021-05-24T10:18:59;2021-05-24T06:53:10
6;Cambodia back up;74468;84800;53050;71774;31695;14918;2021-05-24T01:44:14;2021-05-24T08:14:18;2021-05-24T02:51:13;25320;48809;85749;2021-05-23T19:51:18;32260;17302;76310;2021-05-23T18:35:58;78758;2021-05-23T21:33:20;2021-05-24T04:22:07
7;bi-directional;11924;250;84619;38891;49856;40179;2021-05-24T01:53:49;2021-05-24T13:15:10;2021-05-23T15:32:54;80730;72965;81676;2021-05-24T00:29:07;13621;75051;79940;2021-05-24T07:56:57;84435;2021-05-23T18:38:05;2021-05-23T21:39:20
8;Wells Liechtenstein programming;64192;40055;845;8273;43288;33673;2021-05-24T02:07:33;2021-05-24T08:58:51;2021-05-24T07:46:39;27440;82251;58669;2021-05-24T03:50:12;70718;72837;45166;2021-05-23T19:54:03;14453;2021-05-23T23:22:12;2021-05-24T01:47:35
9;Swedish Krona streamline;97041;57407;98165;2963;98694;66785;2021-05-24T04:11:35;2021-05-23T22:19:31;2021-05-23T19:38:53;1307;82132;30696;2021-05-23T16:29:35;68788;65826;39061;2021-05-24T08:52:42;53460;2021-05-23T23:38:44;2021-05-24T03:51:11
10;Books customer loyalty Supervisor;81020;56740;27138;85084;36843;98795;2021-05-24T07:02:34;2021-05-23T15:51:02;2021-05-24T10:52:10;43185;53116;92997;2021-05-24T07:46:39;10442;88529;51028;2021-05-24T10:51:31;75961;2021-05-24T06:11:18;2021-05-24T04:16:42
