id;word;action;replacement
1;scalable;19218;Networked Open-architected override
2;hack Savings Account;42868;RAM
3;hard drive strategy;29012;Roads Senior Gloves
4;Louisiana Rhode Island Branding;39527;Borders Home Loan Account Pizza
5;strategic Fresh 24/7;92294;New Jersey Gorgeous Soft Chips
6;Tasty Plastic Pizza;25781;Parkway Kwanza Advanced
7;Small Granite Chair deposit Home Loan Account;17104;open architecture
8;Nicaragua;67945;Cotton
9;Sports Specialist invoice;58478;Auto Loan Account
10;Pre-emptive Direct;10055;programming
